詞彙,出現次數
或非,1
公車常,1
兩班,1
第一班,1
沒錯過,1
容錯,1
同班,1
受不了,1
永遠活,1
先培養,1
自理,1
計劃,1
主義只,1
不喜,1
歡學科,1
提起,1
微不足道,1
念經,1
感到,1
困倦,1
實際用,1
1.6,1
緊湊,1
大憂鬱,1
講實話,1
有善,1
逃課,1
有家長,1
開車,1
課前,1
累得氣,1
喘吁吁,1
滿身,1
大汗,1
矯枉過,1
美國兒,1
科醫學會,1
AAP,1
疾病,1
CDC,1
開學,1
毋須,1
往後推,1
90%,1
37%,1
過量,1
證實,1
私教,1
越長,1
夜間,1
越短,1
不規律,1
改鐘點,1
該考,1
不會少,1
抵銷,1
規畫,1
支撐,1
縮短時,1
破壞,1
行政官,1
受害者,1
降下,1
課務,1
決策,1
才務實,1
更務實,1
自主化,1
集合,1
校門,1
爆校,1
門口,1
管控,1
滿意度,1
幫學生,1
提過,1
然後把,1
提意,1
再當,1
好不好,1
這裡,1
這有,1
娛樂都夠,1
夠或,1
商業,1
這群,1
延晚,1
玩久,1
然後才,1
然後之後出,1
點半到,1
只習慣,1
最後只,1
瘋狂,1
連班,1
打槍,1
拿出,1
開地,1
圖炮,1
不學學,1
會培訓,1
完美,1
哪有,1
會願,1
意花,1
錄取,1
學點,1
才行,1
TL,1
DR,1
推給,1
總想,1
著延後時間,1
還在,1
無限,1
上綱,1
推越,1
連全職,1
以後怎麼,1
維生,1
之後求,1
不教,1
別覺,1
會教,1
自願選,1
https,1
join,1
gov,1
tw,1
idea,1
detail,1
ac95b365,1
1bd5,1
4a8b,1
81b1,1
7ef613efdda6,1
別上,1
變爛,1
教育系,1
統要,1
死板,1
大部份,1
殘酷,1
任由,1
然後去,1
新開,1
早課,1
畸形,1
而演,1
妄想,1
順便,1
之餘,1
家長將,1
才藝,1
下手,1
擁夠,1
信縮,1
要馬,1
老師出,1
東西要,1
算是,1
性疾病,1
所導致,1
出走,1
若是僅,1
你國,1
違憲,1
分泌,1
激素,1
妨礙,1
幼童,1
發育罪,1
以家長,1
小生,1
課範圍,1
並規劃,1
屏棄,1
因材施教,1
開發,1
仍有,1
恫嚇,1
就記,1
能以,1
吸引力,1
幽默,1
風趣,1
誘導,1
叫學生,1
推出,1
恐怕,1
沒接,1
觸過,1
知識點,1
花比,1
忘記,1
從源頭,1
定義,1
跟家長,1
之後大學,1
組織,1
感及,1
上會,1
短會,1
角色,1
努不,1
這兩個,1
開到,1
還少,1
調回,1
原來,1
這兩小時,1
相當晚,1
合規,1
延後與,1
現下,1
職社,1
區化,1
提及,1
之情,1
亦非,1
實的,1
須要,1
引導,1
大致,1
若有誤,1
見諒,1
並刪,1
兩堂,1
不無聊,1
立案,1
證實縮,1
空閒,1
花點,1
其實會,1
多加,1
因為現,1
所為,1
規矩,1
擺爛,1
下場,1
我現,1
網上,1
講說,1
難倒,1
大學能,1
這不單,1
對認,1
感謝,1
關於國,1
我持,1
同儕關,1
多重,1
課僅,1
3C,1
大規模,1
期且,1
代表性,1
勢必,1
轉移,1
加重,1
許多國,1
仍仰,1
賴家長,1
周邊,1
校務,1
版主,1
得當,1
無所謂,1
反之,1
適宜,1
如補習,1
結點,1
的確,1
研議,1
拙劣,1
為出,1
以學,1
生個,1
便利性,1
多參,1
少量,1
居住,1
較遠,1
一步登天,1
舊時代,1
現時,1
深遠,1
年輕,1
更歡,1
從小長,1
減少堂數,1
會學,1
學不來,1
人拉長,1
找出,1
去問,1
考驗,1
為何,1
找不出,1
因找,1
拼拼,1
冠冕堂皇,1
合理化,1
早班,1
機還,1
全天,1
休學能,1
著要,1
人在講,1
底下,1
一口,1
死體,1
制爛,1
關連,1
3.4,1
休學辦,1
一辦,1
通通,1
你們還,1
睡會,1
會選擇,1
床上,1
繁雜,1
這節,1
完數學,1
下節,1
這堂,1
一到,1
每一節,1
沈悶,1
動腦,1
連上,1
物化,1
能改,1
排隊,1
點半放學,1
在生活中,1
改了,1
會變,1
週末,1
星期一,1
統一,1
然後課,1
檢查,1
國語,1
我出,1
文史,1
講話,1
不會用,1
成語,1
數學解,1
方程式,1
但個,1
類還,1
認真學,1
覺得還,1
這人覺,1
音樂算,1
同興趣,1
認識,1
最難,1
最珍貴,1
天馬,1
行空,1
創意且,1
任何事物,1
好奇心,1
義並,1
無法給,1
上世紀,1
發生過,1
工人,1
表達,1
免不了,1
抹黑,1
變革,1
信網,1
酸言酸語,1
大聲,1
麻木,1
假裝,1
記住,1
索取,1
有位,1
智者,1
自具體,1
義的虛,1
總有,1
偉大,1
渺小,1
正是,1
ChatGPT,1
哈哈哈,1
加油,1
改起,1
班教,1
剛好,1
課及,1
自信心,1
一部,1
沒選到,1
課浪費,1
..,1
拒學,1
濫用,1
口角,1
停止,1
IG,1
限時,1
Threads,1
蔓延,1
第二天,1
.....,1
抖音,1
小紅書,1
刺激性,1
過強,1
不妨,1
美國學生,1
時防,1
盜袋,1
同時鎖,1
相對,1
會區,1
放心,1
騎車,1
節與,1
可憐,1
整個體,1
制面,1
四個,1
自由支配,1
不著重,1
出多種,1
同情,1
要縮,1
以後都,1
改一改,1
移掉,1
還說,1
不通,1
先改,1
取向,1
最後才,1
改上,1
先提,1
太急,1
正反,1
兩方,1
一把抓,1
光是,1
再多個,1
節還,1
第九,1
精英,1
班必須,1
班導致,1
變化,1
內容少,1
以讀,1
我並,1
幸福,1
接輔助,1
最後想,1
最後提,1
出言,1
嘲諷,1
感情用事,1
是爛,1
侮辱,1
很蠢,1
提醒,1
如有,1
點前,1
出入,1
支配,1
課程常,1
批判性,1
協作,1
記憶型,1
升學路徑,1
技職,1
但路徑,1
升學型,1
選拔,1
期高,1
吃過,1
手段,1
制定者,1
硬性,1
校時,1
多樣,1
單一,1
化考,1
權重,1
商資源,1
並在,1
日常,1
中落實,1
向家長,1
放縱,1
簡短,1
從美國,1
角度看,1
磨成,1
能撐,1
若想,1
縮小,1
系統性,1
要學會,1
會少,1
在網,1
簽過,1
課後班,1
聚精會,1
會加,1
考試還,1
課不強,1
制還,1
壓迫性,1
成年人,1
數過,1
住宿,1
慧燈,1
中學,1
案子,1
會拉長,1
毫無關,1
生現,1
就近,1
就學,1
搭乘,1
許多號,1
專車,1
欣欣,1
客運,1
路線,1
司機,1
排班,1
一案,1
已經縮,1
導致學,1
生荒,1
知識量,1
全國,1
水平,1
仍要,1
屬個,1
若有,1
雲林,1
縣國,1
半強,1
迫性,1
少上,1
五節,1
當周,1
輔會,1
拖到,1
寥寥,1
無幾,1
課相當,1
其一,1
下培養,1
背道,1
科要,1
要聘,1
專任,1
中會,1
給課,1
行動,1
台灣離,1
給你多,1
講再,1
減並,1
離職,1
看太多,1
電視劇,1
有足夠,1
教是,1
哪間,1
避雷,1
帝國,1
當會,1
計師,1
當什麼,1
這位,1
定義是,1
考證,1
照要,1
再多花,1
禮拜少,1
整會,1
牽動,1
能維持,1
消減,1
將到,1
講笑,1
閒聊,1
隨意揮,1
節有,1
化學課,1
故事,1
最後悔,1
難過,1
週六輔,1
上路,1
難行,1
提高效率,1
混水,1
摸魚,1
點半先,1
改十點,1
眾多,1
學生家裡,1
學美術,1
學音樂,1
時代學生,1
課實施,1
補助,1
搭計,1
程車,1
zwj,1
小孩子,1
合格,1
乏味,1
學然後六點,1
放學並,1
節之類,1
名義去,1
登記,1
宣導要,1
多運動,1
放假,1
互相配合,1
多花些,1
廢話,1
喊口號,1
笑死人,1
持反,1
關聯性,1
上放學,1
主因,1
電子,1
品有,1
社經,1
許有,1
無此,1
此舉將,1
趨向,1
有明,1
確且,1
三法針,1
所屬,1
主動性,1
說白,1
想十點,1
有學生,1
少待,1
滑手機,1
上國,1
問學生,1
選銷,1
表演,1
人不會,1
班之類,1
身為國,1
三生,1
壓到,1
確絲,1
毫未,1
改革方案,1
人車潮,1
公共,1
拼命,1
永遠,1
只會加,1
早下,1
念書,1
上網,1
區分,1
幼稚,1
管得,1
問學,1
管成,1
中學生,1
迷茫,1
困惑,1
最近,1
固定,1
節學,1
科課,1
節為,1
天體育,1
天社團,1
科納入,1
非學,1
科類,1
以選修,1
可若達,1
體育班,1
改為檢,1
定式,1
隔年,1
生死,1
考幾次,1
and,1
看學習,1
納入,1
放榜,1
日期,1
一天到晚,1
開心,1
早要,1
不累,1
往後調,1
一整,1
週有,1
習不完,1
開書,1
起書來,1
國中要,1
裡也讀,1
不下,1
開晚,1
靜下心,1
那以,1
導致後面,1
接近,1
懵懵懂懂,1
書籍,1
陪伴,1
兄弟,1
談心,1
須重,1
視學,1
點就會,1
夠彌,1
補晚,1
放學後個,1
會維持,1
改有,1
沒經,1
過大腦,1
出發點,1
單純過,1
課表裡,1
面非,1
三分之一,1
實際學習,1
學分制,1
模組制,1
修滿,1
缺口,1
跨科,1
支援,1
我本來,1
缺老師,1
排滿,1
教得,1
心虛,1
打折,1
縮短學生,1
校共聘,1
老師教,1
錯置,1
之後頂,1
多用,1
勞基法,1
休假,1
傻傻,1
給慣,1
壓榨,1
吐血,1
問德智體,1
群美,1
作才,1
專門,1
挑時間,1
丟補習,1
這和,1
作業會,1
喝水,1
問是,1
要邊,1
課邊,1
坐到,1
總共,1
屁股,1
玩電動,1
太快,1
起不來,1
情況並,1
原神,1
傳說,1
並不反,1
天亮,1
坦白,1
講還,1
考之後再,1
客串,1
使多數,1
更導致,1
合理性,1
學能,1
則讓,1
事體育,1
非僅僅,1
埋首,1
書本,1
數家長,1
內容過,1
推動前,1
需仔細,1
相容,1
並有,1
著學生,1
一條,1
累且,1
遙遙,1
無期,1
遠遠,1
節和補習,1
報酬,1
但現,1
出路,1
班裡面,1
確蠻,1
比要,1
經明,1
顯不夠,1
威脅,1
節律,1
並為,1
多屬,1
盼望,1
當作,1
遠小,1
分前,1
交作業,1
點出門,1
衣服,1
五分,1
綁頭,1
生理期,1
褲子,1
清洗,1
私密,1
部位,1
經過,1
最早,1
若功,1
但緊,1
本無法,1
課喜歡,1
趴著,1
超累,1
打起精神,1
並與,1
每位,1
補學習,1
將近,1
未有,1
自殺數,1
增多,1
點半至,1
普遍存在,1
鞏固,1
吸收力,1
疲勞學習,1
學並,1
非僅限,1
能穩,1
定情,1
活得,1
常見,1
將有,1
趕著,1
儀容,1
從容,1
迎接,1
其長,1
灌輸,1
從外,1
縣市,1
經不遠,1
市區,1
家有,1
最重,1
下要,1
顧全,1
節已,1
止境,1
疲勞裡,1
但少,1
有太多,1
藝術類,1
課程並,1
換掉,1
那裡學,1
決議,1
挑戰性,1
這次,1
部定,1
太重,1
顧到,1
有心,1
進修,1
課導致,1
大導致,1
學不,1
推崇,1
並未放棄,1
升學主義,1
互相矛盾,1
暫時,1
並給予,1
心會,1
法達,1
上音樂,1
課表藝,1
課國,1
防課,1
制來,1
增添,1
校方,1
能解,1
點就須,1
若學校,1
空窗,1
期將,1
事事,1
懶散,1
當放學,1
須面,1
更少,1
已相,1
當緊,1
錯失,1
來解,1
之重,1
調課,1
靈很累,1
發揮出,1
仍須,1
有強,1
查詢,1
業這樣,1
有晚,1
意義嗎,1
申訴,1
單獨,1
八點鐘,1
直到,1
傍晚,1
少之又少,1
地堆,1
視野,1
填塞,1
奔命,1
地應付,1
邁出,1
出得,1
任課,1
無視,1
繳費,1
迫不得已,1
段考,1
現代年,1
輕人,1
內容及,1
修學分,1
沒修,1
業還,1
的專,1
心上,1
放學還,1
打點,1
工做點,1
技術,1
賺點,1
零花,1
依據,1
這用,1
一用,1
機之類,1
一拖,1
點過,1
睡不夠,1
義啊,1
間後移,1
有長,1
現代以,1
導向,1
民族,1
業強勢,1
民生,1
業弱勢,1
文理,1
歧視,1
居然,1
合適,1
考同樣,1
敗壞,1
少子,1
素質,1
承認,1
二十,1
想必,1
憂鬱率,1
期以,1
並不適,1
合用,1
勢必會,1
毀滅性,1
衝擊,1
用長,1
總要,1
某個,1
期面,1
縮短且,1
學科學習,1
課後則,1
顧升學,1
繁瑣,1
低效益,1
會展,1
現出,1
本案,1
可行性,1
班導,1
還規定,1
之後上,1
掃半小時,1
只休,1
實際算,1
一共,1
70%,1
一放學,1
睡到,1
有多數,1
藝課,1
不加,1
根本就是,1
拿學生,1
說夢想,1
藍圖,1
課什麼,1
介紹,1
陰陽,1
八卦,1
要面子,1
人們,1
不久,1
可載,1
行社,1
團活動,1
隨著,1
執著,1
學一個,1
分辨是非,1
白話文,1
功用,1
真有,1
覆議,1
私欲,1
這萬年,1
這時代,1
多學習,1
棄了,1
灣國,1
名列前茅,1
他國,1
顯著,1
獲取,1
心生,1
課業外,1
先機,1
佔據,1
扣除,1
盥洗,1
閒雜,1
何來,1
鑽研,1
可言,1
最後一,1
架構,1
僵化,1
坐班,1
低下,1
佔用,1
有效性,1
下學習,1
迫切,1
四小時,1
刻苦,1
點遲,1
收拾,1
買個,1
5.20,1
吃點,1
大約,1
僅剩,1
時過,1
午夜,1
連續,1
習完,1
比國,1
一進,1
分組,1
組壓力,1
一開學,1
失眠,1
胸悶,1
時不時,1
疼痛,1
順暢,1
送急,1
診檢查,1
一切正常,1
醫生,1
代價,1
趕去,1
前一天,1
變差,1
暴躁,1
對多數,1
比時間,1
課六小時,1
還好,1
遠來,1
自信,1
更願,1
意主動,1
只覺,1
重視學,1
樂趣,1
交友,1
課導,1
致長,1
空檔,1
密度,1
補作業,1
為本,1
屢見,1
不鮮,1
不高,1
雖有,1
淪為,1
將資源,1
減輕學,1
危機,1
生命,1
科並,1
我為,1
我來,1
疲倦,1
免疫,1
下醒,1
活力,1
舒適,1
一大,1
優點,1
由六點,1
充實課,1
課其實,1
幫到,1
全力支持,1
裡養,1
腳步,1
課程裡,1
不符,1
少而精,1
竟術業,1
專攻,1
家住,1
基隆,1
要花個,1
會讀,1
校間,1
部門,1
捫心,1
自問,1
撥款,1
先天,1
滿七小時,1
這已經,1
所致,1
多巴胺,1
及動力,1
自盡,1
人口,1
離家遠,1
課程害,1
上學導致,1
勞逸,1
結合,1
學生用,1
進去,1
下會,1
學進,1
減堂,1
學生少,1
講堂,1
普高,1
死裡,1
雖縮,1
但學習,1
遠勝,1
無止,1
堆疊,1
健全人格,1
途徑,1
依循,1
慣例,1
並調,1
整時間,1
顧學習,1
此案,1
偷懶,1
回歸常識,1
關鍵期,1
隱憂,1
時間裡,1
這比,1
學生視,1
即將,1
步入,1
困在學,1
校裡,1
不在乎,1
會不會,1
討好,1
被關,1
宜蘭,1
職監獄,1
三峽,1
高二學生,1
8.30,1
法參,1
來講,1
等車,1
說法,1
數一數,1
症及,1
躁鬱症,1
盛行,1
不縮,1
偏向,1
死讀,1
有大學,1
腦子裡,1
改不掉,1
創造性,1
行事,1
人員,1
停滯,1
不前,1
趕上,1
確保,1
會明顯,1
社交能力,1
中常,1
極為,1
均衡,1
設過,1
時常學生,1
未免太,1
科什,1
留著哈,1
上九個,1
還不含,1
三個,1
這還,1
要花,1
多花,1
上公車,1
分搭車,1
息影,1
調整國,1
順應,1
現代國,1
人格,1
早出,1
晚歸,1
不合,1
時宜,1
中學習,1
事倍功半,1
充沛,1
持續,1
六七,1
涵蓋,1
課後學生,1
課表壓,1
簡無效,1
近科學,1
變大,1
提議國,1
深具,1
能給,1
體能,1
探索者,1
呼應,1
鼓勵,1
舞台,1
有類,1
似的,1
不曾,1
用意,1
跟現,1
主修,1
只針,1
這這議題,1
回覆,1
發布,1
國民小學及,1
國民中學,1
教學督導,1
簡稱,1
措施,1
多年,1
許多法,1
條中,1
市督導,1
中央政府,1
訂定,1
統一規範,1
休憩,1
明定,1
所訂,1
大小,1
模擬,1
年級,1
週實施,1
並明確,1
學藝,1
辦法並,1
檢核,1
國中應,1
每學年,1
開學前,1
將檢核,1
公告,1
網站,1
單位,1
將透過,1
實地,1
視導,1
審閱,1
巡查,1
問卷晤,1
監督學校,1
即使如此,1
違犯,1
帶著,1
我國,1
將不會,1
顯著性,1
名義繼續,1
顆顆,1
零件,1
將可,1
較晚,1
相悖,1
推遲,1
投注,1
無謂,1
將課程,1
點之間,1
並優化,1
很棒,1
走個,1
國英社,1
暑輔,1
上半天,1
控下,1
並學習,1
再節,1
能量,1
放學後去,1
鋼琴,1
這將會,1
課學,1
沒變,1
節結束,1
九到,1
節是,1
繳錢,1
二四,1
補習還,1
上學九小時,1
剩三小時,1
學鋼琴,1
然後我們,1
逼太緊,1
過學生,1
展所謂,1
差點,1
反思,1
過這些,1
邀求,1
強迫學,1
近一半,1
國數英,1
不考,1
放到,1
用成,1
短國,1
快速,1
僅止,1
及志願,1
傾斜,1
素養導,1
國際上,1
許多先,1
丹麥,1
評比,1
中展現,1
亮眼,1
備課,1
學生個,1
非單,1
純延長,1
推動此,1
有功,1
課報,1
告要,1
要塞,1
人心,1
裡壓力,1
調節,1
要給,1
要加,1
對國家,1
以後發展,1
公車生,1
半夢,1
半醒,1
會怕,1
某天,1
猝死,1
考成績,1
五點鐘,1
九點鐘,1
意思,1
還算,1
節省,1
主義導,1
元來,1
累垮,1
依台灣,1
高國,1
家中,1
課讀,1
給學,1
三類,1
不太有,1
課延長,1
整一下,1
因應,1
當自習,1
但國際,1
災難,1
課學到,1
還真,1
刷題,1
會學習,1
變低,1
去觸,1
所學習,1
檢定,1
中華民國,1
高雄市,1
之國,1
再度,1
離家裡,1
發出,1
書本來,1
校定,1
會花,1
天上,1
要讀,1
進食,1
監獄,1
犯人,1
早一點,1
橡皮筋,1
頭暈,1
接著要,1
趕時間,1
更久,1
確實能,1
將課,1
程內容,1
如將,1
需學習,1
並減,1
顧成績,1
從八點,1
數人,1
移植,1
照抄,1
背後有,1
歐美比,1
較強,1
調個,1
人主體性,1
群體,1
和諧,1
條件,1
比低,1
硬體,1
設備,1
齊全,1
常面,1
歐美產業,1
路徑,1
社會則,1
升學率,1
兩頭,1
點半,1
記遲,1
由此可知,1
這半小時,1
點我,1
交流,1
減少塞車,1
敢保,1
很明,1
顯是,1
疲勞及,1
一舉,1
兩得,1
聽到,1
好友,1
逃學,1
我能,1
好轉,1
師長,1
學帶,1
很明顯,1
小事,1
耽誤,1
造福,1
弟妹,1
日益,1
數國,1
不僅會,1
減過,1
將顯,1
經驗將,1
並延後國,1
將讓,1
不給,1
讀書高,1
內無法,1
只會導,1
致腦,1
神經,1
一旦,1
開學校,1
離開,1
邁入,1
有感,1
可見國,1
大到,1
勞工,1
相比,1
拼好,1
著想,1
於國,1
吩咐,1
生體,1
少許,1
縱使,1
難點,1
客服,1
但當,1
累贅,1
人有,1
不會管,1
只不過,1
睡七小時,1
連老師,1
喜愛擅,1
這在,1
受用,1
書讀,1
成山,1
連我,1
國中升,1
習作,1
算成績,1
上去,1
問有,1
還因,1
意義去,1
若以,1
啟發學生,1
上並,1
全心,1
融入,1
趕緊,1
會去,1
並還要,1
統整,1
化成,1
著實,1
以一個,1
資質,1
有情,1
一朝一夕,1
睡足,1
所規定,1
說要,1
擠成,1
運什麼,1
沒幫助,1
法短,1
延遲,1
因為學,1
學童,1
實質性,1
國二生,1
認為現,1
國數,1
英自社,1
課表寫,1
敷衍,1
去給,1
其餘,1
智能,1
習用,1
當看,1
節上,1
敢告,1
此事,1
看法,1
一學,1
因學校,1
算下,1
不說,1
例外,1
就現,1
多長,1
及國民,1
特有,1
高牆,1
倒下,1
將無法,1
點這種,1
殘害,1
幼苗,1
企業體,1
早日,1
遭到,1
終結,1
身分,1
全數,1
考會考,1
不太好,1
當狗,1
才剛,1
升高,1
經有,1
教一科,1
這種還,1
未成年,1
還從,1
課換個,1
名字,1
湊數,1
學生常,1
考分,1
顯得,1
許多選,1
修課,1
本位,1
幫上,1
薄弱,1
尖學校,1
開出,1
特色,1
電影,1
欣賞,1
桌遊,1
放大器,1
沉重,1
課常,1
純粹當,1
除去,1
將來,1
高學歷,1
如遇,1
自救,1
事上,1
溺水,1
層出,1
不窮,1
內核,1
遇過,1
高談,1
闊論,1
政治,1
椅子,1
他噴,1
口水,1
幾節,1
心累,1
皮毛,1
說給,1
滑掉,1
專精興趣,1
負後果,1
經快,1
課刪,1
社會志工,1
理財學,1
中國學生,1
自殺率,1
居高不下,1
多半,1
因子,1
具三大,1
需八至,1
下多僅,1
六至,1
七小時,1
源頭,1
醫療,1
成本,1
現代化,1
將面,1
臨家長,1
可透過,1
校車,1
逐步,1
學了,1
看不懂,1
全拿來,1
那時,1
又費,1
專修,1
此科,1
老師並,1
時間給,1
背後因,1
上加,1
不願意,1
供公眾,1
手握,1
權力,1
擦亮,1
將你們,1
套用,1
到現,1
截然不同,1
那當然,1
更多人,1
滿意,1
改變現,1
並不高,1
逃避,1
但事實,1
眼前,1
迷惘,1
想像力,1
打壓,1
正軌,1
我後面,1
偏題,1
當年,1
整整,1
毫無邏輯,1
抱歉,1
這兩者,1
還存,1
烈陽下,1
校長,1
講廢話,1
實在,1
荒謬,1
至極,1
國防課,1
應當,1
刪一,1
請別,1
誤會,1
畢業生,1
認藝術,1
我質,1
疑國,1
美樂課,1
號稱,1
真起,1
受重,1
借來,1
考數學,1
實則,1
半吊子,1
交代,1
多留,1
這般,1
舞蹈,1
展覽,1
一下子,1
往好,1
玩笑,1
為例,1
八九,1
家功,1
課還,1
疲累,1
不能不,1
考單,1
沒睡,1
這正科,1
留著,1
全部都是,1
滲透到,1
人家,1
別科,1
正妻,1
小三恩愛的,1
背不起,1
這一,1
6.7,1
前一晚,1
還為,1
交完,1
昨天,1
考新,1
別無選擇,1
考好,1
願意活,1
這片,1
交不出,1
屬實,1
放眼看去,1
位居,1
上前,1
懲處,1
銷過,1
午睡,1
勞改,1
沒讀,1
點並,1
消除,1
還有衍,1
伸出,1
不免,1
念頭,1
焦頭爛額,1
連成績,1
顧不上,1
人都邊,1
邊上,1
假如能,1
夠晚,1
太大關,1
不明,1
不浪費,1
壓力會,1
去學,1
or,1
還要繳,1
之內,1
教課,1
沒上,1
意願,1
雜課,1
舉辦,1
放學後還,1
並不會縮,1
短太多,1
將更,1
能間,1
不必因,1
下面,1
大四,1
活動會,1
原初,1
增學生,1
許學,1
仍主導,1
工作量,1
不輸,1
照現,1
檢視,1
要是,1
編好,1
改考試,1
讀書要,1
認為國,1
若長,1
若能將,1
內容流,1
餘裕,1
短且,1
優化,1
學習歷,1
自我管理,1
這比單,1
純塞滿,1
時俱進,1
將是,1
效能,1
最實際,1
單單,1
紙本,1
還有線,1
及其,1
指派,1
適逢,1
金成長,1
能為,1
許多人,1
反應,1
揭露,1
學校將,1
醜陋,1
能學生,1
會拿來,1
電玩遊戲,1
展現,1
也好,1
也罷,1
還望,1
性言論,1
童軍課,1
按部就班,1
完上,1
講什麼,1
檢討教,1
累得,1
還跟,1
睡前,1
最後換,1
已證實,1
年齡,1
排除,1
能釋,1
放出,1
事運動,1
態中,1
並附議,1
東西塞給,1
節想,1
勾不上,1
很耗,1
低分,1
好看,1
正直,1
朝九晚五,1
點或強,1
響學生,1
填壓式,1
改良,1
洗完,1
經十點,1
所剩,1
昏昏沉沉,1
裡早,1
這樣並,1
還累,1
有著,1
東西為,1
紙筆,1
課七點,1
半六點,1
還沒時間,1
放不掉,1
優績,1
拆成,1
兩門,1
便會,1
愉悅,1
而現,1
人潮,1
有要,1
大打折扣,1
飽點,1
太高,1
特性,1
人學習,1
較差,1
不可抗力,1
課後還,1
計畫,1
彎路,1
隨傳統,1
庸庸碌碌,1
關國,1
....,1
高職生,1
放學後會,1
店家,1
下班,1
家要,1
家務,1
是給,1
算學分,1
常看到,1
太大而,1
遲遲,1
現況,1
學學,1
有利,1
成敗,1
校內,1
企業,1
學制,1
經將,1
融合,1
自由度,1
可針,1
本質,1
心態,1
是國,1
節其實,1
打電話,1
請家長,1
完之後還,1
還沒寫,1
觀察下,1
每個國,1
死當,1
而導,1
致國,1
通行,1
總動員,1
恍神,1
緊張,1
不及格,1
被當,1
那學生,1
白費,1
回學校,1
情緒過,1
無法釋,1
抑鬱,1
壓死,1
國中還,1
妹妹,1
社畜,1
小朋友,1
口口,1
聲聲,1
要素,1
養加,1
變多然,1
還變,1
義浪費,1
看人,1
根深蒂固,1
全改,1
做起,1
我國應,1
培養個,1
主考,1
科壓力,1
課後興趣,1
僅僅,1
將數位,1
工具,1
推動專,1
操作,1
比口頭,1
顧室,1
外教,1
內教學,1
教學次數,1
筆記,1
戶外,1
參與度,1
設計過,1
近學生,1
不容,1
忽視,1
記三大過,1
最後照樣,1
處分,1
規範,1
威信,1
行為後果,1
並設計,1
教育性,1
懲戒,1
課因,1
學出,1
學不進,1
超大,1
只學國,1
超爛,1
超少,1
然後學生,1
很忙,1
問問,1
灣有,1
那有,1
GDP,1
那為何,1
每天花,1
裡面,1
多才,1
想問,1
哪來,1
一貫,1
中國式,1
試著,1
加拿大,1
充實,1
以至,1
份子,1
帶領,1
向前走,1
官員們,1
灣未來,1
點不太,1
點我覺,1
僅用,1
專門花,1
很麻煩,1
課一點,1
選到,1
分開,1
睡晚,1
窘迫,1
解答,1
所學,1
被主,1
真是,1
火大,1
太陽,1
還沒出,1
家太陽,1
下山,1
剩讀,1
奴隸,1
沒得,1
經受,1
論國外,1
數比,1
菁英,1
嚇人,1
那讀,1
戶外實,1
比紙,1
好太多,1
官員,1
讀萬卷,1
實際上,1
背書,1
豐富且,1
累積過,1
指令,1
動作,1
如實,1
進到,1
作業後便,1
認為諸,1
類的,1
替代,1
全體,1
教導,1
學生來,1
改變國,1
之上,1
學校則,1
課後能夠,1
那學校,1
留在,1
非正課,1
收獲,1
舊有,1
名義把,1
有學習,1
上升,1
其將,1
求學階段,1
給出,1
快樂學習,1
並非僅,1
回歸到,1
舉措,1
違背,1
響學習,1
密切,1
推卸,1
揚棄,1
過時,1
遠勝過,1
苦撐,1
促使,1
精煉,1
所釋,1
金時刻,1
深化,1
構成,1
素材,1
沃土,1
克服,1
正視此,1
勇敢,1
地為,1
令人,1
更是如此,1
難免,1
不公,1
課社團,1
再長,1
數學校,1
遠遠達,1
水準,1
已經夠,1
令人窒息,1
靈狀況,1
讀書生,1
活到老,1
意學習,1
扼殺,1
體會,1
看作,1
寫作,1
遺毒,1
翻新,1
無暇,1
延後不僅,1
現代上,1
案件,1
若過,1
點能,1
情形,1
因疲勞,1
可作,1
線上,1
另一方面,1
受益,1
多家,1
壅塞,1
對遠,1
便利,1
審慎評,1
估並,1
創造,1
一日,1
數先,1
其學習,1
並未,1
減弱,1
呈現,1
高時數,1
低效率,1
過大將,1
若學習,1
之下,1
啟發,1
荷蘭,1
其學生,1
幸福感,1
由此,1
可見,1
已能,1
點半前,1
師創,1
然後讓,1
補覺,1
無異,1
熱忱,1
你給,1
用功,1
那該,1
選想,1
終究,1
雙方,1
真心,1
一二年,1
不無好,1
國一國,1
棋藝,1
看來,1
周遭,1
心之所,1
還多花,1
無趣,1
語課,1
台語,1
還學,1
拼音,1
立體,1
雕刻,1
繪畫,1
極點,1
或額,1
外上,1
吹直,1
古代,1
音樂史,1
私下,1
班級,1
開班會,1
最後變,1
之餘學習,1
不求,1
短到,1
之後再,1
報考,1
鑑定,1
相同,1
歷練,1
減輕家裡,1
改軍事,1
男女,1
語文,1
自然科,1
數理,1
預修,1
誰理,1
國七學生,1
應確,1
設計宜,1
作法,1
可強,1
調學習,1
將學校,1
持正,1
規課,1
程之餘,1
太大用,1
一點算,1
點起,1
搭公車,1
太緊,1
跨縣,1
市讀,1
確實會,1
機動性,1
最初,1
好大學,1
偏科,1
無形,1
事壓,1
面面俱到,1
常覺,1
快要,1
工時,1
試行,1
週休,1
三日,1
不時,1
自縊,1
經文,1
然後再,1
搓揉,1
民意,1
的關,1
參加晚,1
上學前,1
不認,1
可行,1
我個,1
竟現,1
連假,1
課規定,1
國三,1
講早,1
違規教,1
國九上,1
九下,1
留晚,1
跨區,1
半點,1
說國,1
要十小時,1
自從,1
換湯,1
不換藥,1
看會考,1
這最,1
造就,1
寫題,1
應變,1
